Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Cohort,Subgroup,Cohort Size,Num Features,Model
0.448842853307724,0.4582067814070797,0.40012627507914394,0.5646711012564671,0.39340885684860966,0.3938144329896907,0.9973890339425587,0.9973890339425587,0.0,0.248641883624072,382,0,588,1,Texas Cohort,Heart Failure (hf),4852,756,HIR-M3 Transformer
0.4079348608893638,0.6559402972732723,0.3728040135605577,0.4371236273467941,0.5085060315496442,0.30394088669950736,0.7780580075662042,0.7780580075662042,0.4209016393442623,0.21129915581890366,617,1027,1413,176,Texas Cohort,Hypertension (hyp),16161,756,Random Forest
0.4342605338719687,0.6609120790523639,0.40723866948274323,0.43796835970024983,0.5824311784720074,0.326911124922312,0.6633039092055486,0.6633039092055486,0.5561475409836065,0.23126320443253692,526,1357,1083,267,Texas Cohort,Hypertension (hyp),16161,756,Logistic Regression
0.1255873739772848,0.6498811320364666,0.39671620256115714,0.4258461538461538,0.4228270955768636,0.2816442816442816,0.8726355611601513,0.8726355611601513,0.2766393442622951,0.19263772972325155,692,675,1765,101,Texas Cohort,Hypertension (hyp),16161,756,LightGBM
0.43167577350929065,0.6882341388791268,0.4135631784657381,0.4667472793228537,0.5907825549025673,0.34300947867298576,0.7301387137452712,0.7301387137452712,0.5454918032786885,0.21402416068593025,579,1331,1109,214,Texas Cohort,Hypertension (hyp),16161,756,Gradient Boosting
0.42333277820115345,0.6767106650404152,0.40791997111059697,0.4525043177892919,0.6077946180018559,0.34405778069599474,0.6607818411097099,0.6607818411097099,0.5905737704918033,0.20731432368857855,524,1441,999,269,Texas Cohort,Hypertension (hyp),16161,756,CatBoost
0.369293749332428,0.662576747359064,0.39195526322669527,0.4425675675675676,0.591710485617074,0.3326984126984127,0.6607818411097099,0.6607818411097099,0.5692622950819672,0.20232985392939323,524,1389,1051,269,Texas Cohort,Hypertension (hyp),16161,756,XGBoost
0.4398925304412842,0.6397075848097079,0.37806844059909583,0.4176904176904177,0.5601608413238478,0.30927835051546393,0.6431273644388399,0.6431273644388399,0.5331967213114754,0.23167099684651085,510,1301,1139,283,Texas Cohort,Hypertension (hyp),16161,756,Standard MLP
0.45617368817329407,0.6180108221528539,0.3285443221128893,0.41945525291828795,0.5385091246520259,0.3033202025886325,0.6796973518284993,0.6796973518284993,0.4926229508196721,0.24366343231343296,539,1202,1238,254,Texas Cohort,Hypertension (hyp),16161,756,Standard Transformer
0.4558120369911194,0.6460096541459078,0.37662204553975953,0.3925888833249875,0.24961336220228889,0.2449234614183068,0.9886506935687264,0.9886506935687264,0.009426229508196722,0.5003198615191746,784,23,2417,9,Texas Cohort,Hypertension (hyp),16161,756,SAINT Transformer
0.537939727306366,0.6168903623922436,0.32776836559343003,0.40175097276264593,0.6195484070522734,0.3269992082343626,0.5208070617906684,0.5208070617906684,0.6516393442622951,0.24467913088476098,413,1590,850,380,Texas Cohort,Hypertension (hyp),16161,756,HIR-M3 Transformer
